nno_doc_hash,eng_doc_hash,nno_url,eng_url,nno_fulltext,eng_fulltext
5ee8ae4d7ab99fb303030cf78a99a351602e22ee,7ab4eea0ca5a500b9ba37e6df6ab7a51704df0b8,https://www.digitalarkivet.no/nn/actors/487/terje-christoffersen/transcriptions,https://www.digitalarkivet.no/en/actors/487/terje-christoffersen/transcriptions,"['Terje Christoffersen', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Terje Christoffersen', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
23380f3f6935f3361a422c06b22179734b1cb014,bf8f006df288a23603e14d87fff1abff0e57c492,https://www.digitalarkivet.no/nn/actors/279/john-herstad,https://www.digitalarkivet.no/en/actors/279/john-herstad,"['John Herstad', 'Nøkkelinformasjon', 'Kontaktinformasjon', 'E-post:', '-', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['John Herstad', 'Key information', 'Contact information', 'Email:', '-', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
27120c882a4895f1ea45fea3e206164ceec5215d,256952c3fb6a23285b2524fc69932c83017906e9,https://www.digitalarkivet.no/nn/actors/301/kevin-questad,https://www.digitalarkivet.no/en/actors/301/kevin-questad,"['Kontaktinformasjon', 'Om Kevin Questad', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['About Kevin Questad', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
ba46a687866027ad852ea9a0b889c92c37e7a74f,bc030ab4aeffaf85493805de263f31b67491061b,https://www.digitalarkivet.no/nn/content/about-da,https://www.digitalarkivet.no/en/content/about-da,"['Forkortingar i søkbare folketeljingar Registreringsstandard for folketeljingar, HISTFORM, har etablert eit felles sett med forkortingar som ein skal nytte når ein transkriberer folketeljingar.', 'Korrekturmeldingar og merknadar Har du funne feil i transkriberte data i Digitalarkivet, eller har du motstridande opplysingar til det som er registrert? Her får du vite korleis du...', 'Korrekturmeldinger og kommentarer på registrerte kirkebøker fra AMF Publiseringen av registrerte kirkebøker fra AMF har resultert i en stor økning av innsendte korrekturmeldinger.', 'Kontaktinformasjon Vi har ulike kanaler du kan bruke dersom du lurer på noe.', '2021-06-17', 'Videreformidling av skannede dokumenter Ønsker du å bruke kopier av skannede dokumenter du har lastet ned fra Digitalarkivet?', 'Digitale format I Digitalarkivet er arkivkjelder gjort tilgjengelege for brukarane på ulike måtar. Lær meir om våre digitale format her.', 'Personvernerklæring Personvernerklæringa gjer greie for vår handsaming av personopplysningar når du nyttar Arkivverket sine tenester i arkivportalen.no, digitalarkivet.no, arkivverket.no eller kontaktar oss via skjema, nettforum, brev,...', '2018-08-20', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['About the Digital Archives', 'The Digital Archives present archive documents in digital form. You can search through structured data and digitized photographs, read full-text print outs or browse through pictures, view videos or listen to digitized recordings. The Digital Archives are free to use, and open to all.', 'How do I read old handwriting? The scanned sources in The Digital Archives can occasionally be very difficult to read. On this page, you can get advice on how to learn...', 'Help Our user guides can assist you in accessing and using the material available in the Digital Archives. Here you will find solutions to common problems...', 'About the Digital Archives The most visible part of the Digital Archives is the internet site, which serves as an entry point into archive material. However, there are a...', 'Restricted images in the Digital Archives Some pictures in the Digital Archives are restricted for viewing. These, and sometimes entire archives, may be covered by legislative restrictions and therefore not freely...', '2017-03-24', 'Contact Information We have various channels you can use if you have any questions.', '2017-03-22', 'Privacy policy This privacy policy explains the handling of personal information that is registered when you use the National Archives’ services on arkivportalen.no and digitalarkivet.no, arkivverket.no, or...', '2017-02-23', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
570cb4e14349fd5e239113022f4cc326534c4e92,6f4480180004c45526163a4367930507bad72fa3,https://www.digitalarkivet.no/nn/actors/497/tore-h-vigerust,https://www.digitalarkivet.no/en/actors/497/tore-h-vigerust,"['Tore H. Vigerust', 'Nøkkelinformasjon', 'Kontaktinformasjon', '-', 'Om Tore H. Vigerust', 'Tore Hermundsson Vigerust (f.1955 - d. 2010) var historiker og genealog bosatt i Oslo. Han registrerte kilder fra norske kjøpsteder på 1600- og 1700-tallet samt skattemanntall, regnskaper og jordebøker for Østlandet ca 1570-1660', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Tore H. Vigerust', 'Key information', 'Contact information', 'Email:', '-', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
7652bd671e31c94d9f46188d15afbc9596aa97e9,b98945066353b94801ca73fc47fa4861c261bed4,https://www.digitalarkivet.no/nn/content/censuses,https://www.digitalarkivet.no/en/content/censuses,"['Folketellinger og manntall', 'Fra midten av 1600-tallet har det vært viktig for myndighetene å holde oversikt befolkningens antall og sammensetning. Her finner du statlige folketellinger og manntall, samt enkelte kommunale folketellinger.', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Censuses and censuses of men', 'From the middle of the 17th century, it has been important for the authorities to keep a count of the population and its composition. Here you can find government censuses and censuses of men, as well as some municipal censuses.', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
01ad9b3492fabc9c9aa200f2b416c9320ecbd9f4,a41eb0ea1f1513c39b5b4a72e06bdf84b7e0d59d,https://www.digitalarkivet.no/nn/actors/271/jo-rune-ugulen/transcriptions,https://www.digitalarkivet.no/en/actors/271/jo-rune-ugulen/transcriptions,"['Jo Rune Ugulen', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Jo Rune Ugulen', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
7967d025eb513c0b65fcc70a0983fa2c4e6b7303,55892c8abd98fb4eae3153cd7000942f6f5a5a50,https://www.digitalarkivet.no/nn/actors/247/ingerkarin-martinsen/transcriptions,https://www.digitalarkivet.no/en/actors/247/ingerkarin-martinsen/transcriptions,"['Inger-Karin Martinsen', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Inger-Karin Martinsen', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
efef7e6a7471fc4126fb58a47d58c3a8d9612212,44ea1ff2d94e69c0dccac3ec8479f6955ab6c2fd,https://www.digitalarkivet.no/nn/actors/61/arne-johan-gjermundsen/transcriptions,https://www.digitalarkivet.no/en/actors/61/arne-johan-gjermundsen/transcriptions,"['Arne Johan Gjermundsen', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Arne Johan Gjermundsen', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
24dea2064b099518b93ab08a4c754df447d001d4,0308002402fb5bd3f8586720f6ae41a5d10a238f,https://www.digitalarkivet.no/nn/actors/711/oppdal-kommune,https://www.digitalarkivet.no/en/actors/711/oppdal-kommune,"['Oppdal kommune', 'Nøkkelinformasjon', 'Kontaktinformasjon', 'Om Oppdal kommune', 'Registreringa er gjort i samband med bygdebokprosjektet til Oppdal, Oppdal kommune .Registrator og kontaktperson: Arvid Skogseth', 'Lukk Informasjon om informasjonskapslar (cookies) Arkivverket brukar cookies (informasjonskapslar) på sine nettsider for å levere ei betre teneste. Dei brukast til mellom anna skjemaoppdateringar og innlogging. Bruk sida som normalt, eller lukk informasjonsboksen for å akseptere bruk av cookies. Les meir om korleis du styrer informasjonskapslar (cookies)']","['Oppdal kommune', 'Key information', 'Contact information', 'Email:', '-', 'Close Information concerning cookies The National Archives use cookies to improve services for our users. The cookie usage include form updates and login. Continue to browse as normal or close this information box to agree to our use of cookies. More information on how to manage cookies.']"
