nynorsk_doc_hash,bokmål_doc_hash
87466e17316f039abfc03f4262f462c543be6857,9550f3c0398b025299b2c7760220854a3ad3a27e
4916b1fdf87274c1dd4e951ad0f01e7341f5505e,b1d60718e799422d237a785b6e04d2b89b8f03e3
7b19b48fcfa96b68d94b98ec6a2f5179622eacf8,56e51c6fb83b8f28350f7356a59e11432c495284
8a25a429e092b29bc807ef2ee2033c44a473fd44,b2179a3645fd40b4254a0d8cf6bdb0be2dff9596
51474766f1ed43201521d3e2ad140d0d8ced3493,526c9d7e11ada43275ba2a244a40a4432f3c232c
98528eae386cc4174b93b24a792c7c2934a36220,662a55a8b719dbf8eca41a3428d5aca935108645
317f12c236e7bfc308e12fad0d319f8ccd887bc6,44afe957f7f8a41921653cb9e122e65e785195d8
3347625331189ab43d9fe439da3f81e48eb08aa8,e36da3e23d23e07abbe3a95d0f7566adb40b183e
8aa70e5f2107df967ff7b68087e3a6aab062c7d9,37e3963e5abc44b3b5af1e806e17692cc4867e41
f5b7a2219eea1746a54e8ab5dd7274d191849648,8e3519c91614472b7a0b4f2af48cf39e2eebc934
e1d72977a1b3cb9649c6ebf8202c23deeeae8045,15bc737d7006ce056dccec1b8436b2645e22d7fc
38757ef61fccdcd03b177e47bcec32182cfd8913,c5c38a5d0966741a1074133d6820be12aa080bbc
01b7ca340ab94b0febb212572706054838f4c377,11dfe3d32c29aff4ac5c2e626b8bc6550fa9d26d
72e58409253ea6d5072771d2f2795235960e4194,edac4363aa9c591f44f6cfb067d4e593ec380b53
739749ec9fefdd3c7db4bd0c977ddc47b712b392,843c799d28befb6de0434641c55a0230fe7ff56a
12180738f41a5322f18268362d3d51b56f35f774,091aebd08d810bd4a3607a6e7797024f78e246e3
9b9f4a723b1769c76a0a76febe6dfc35450f459e,3c558a42fe2305a5d35daba0ba01a09b88d2aa65
f848b7590fb478e807fbe39ff553aa130af0f8bb,30a7fd9540255062b7ff075d2d5ae6dfb991886b
a79c33f44f1d91d5ff6203cbf98d2488b9ede830,c716adf81368da9be83577231ca1e4478442ea55
4b26c16460e6b80e480a316687877d1dc967dfcc,4afc966a074aef7c90ec3bb3b2326a8a9aa37b6e
578ca73f933ff6644abe0b657cdddc440d5a8b10,32696ef15de142e462d847b2b5fde7d5d9db94a8
be51b6a2865eadb049400a3b146022068dcd61d5,f5bfb85d308acbd7c21d5165263015daa667f446
2727fe6aebbcfbab83f296e10c06a4247562e9e7,a84792886289b169bf1ac864be8cb52a75f8ce46
af91ab94a6e1fdf4fe9ee9ef1b98c0ca51479a9d,43db0f91bdf7a0bedb8d4b9a157e9f5bf6f895ab
16dc0cc93443f3736ddaa1e2bd5d35982eb28a07,8c4da81988fc044691aab0ddfcbc8f3d85bca344
3899a2e51fab95ae94e068ee110c680fc4970196,aa5e21050622dad9fcaa7ddc9530ed2e74ff7bbd
