"annotation,""annotation_id"",""annotator"",""created_at"",""date_lang_1"",""date_lang_2"",""doc_hash_lang_1"",""doc_hash_lang_2"",""domain_lang_1"",""domain_lang_2"",""fulltext_joined_lang_1"",""fulltext_joined_lang_2"",""fulltext_lang_1"",""fulltext_lang_2"",""id"",""lang_lang_1"",""lang_lang_2"",""lead_time"",""mimetype_lang_1"",""mimetype_lang_2"",""updated_at"",""url_lang_1"",""url_lang_2""",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,"annotation,""annotation_id"",""annotator"",""created_at"",""date_lang_1"",""date_lang_2"",""doc_hash_lang_1"",""doc_hash_lang_2"",""domain_lang_1"",""domain_lang_2"",""fulltext_joined_lang_1"",""fulltext_joined_lang_2"",""fulltext_lang_1"",""fulltext_lang_2"",""id"",""lang_lang_1"",""lang_lang_2"",""lead_time"",""mimetype_lang_1"",""mimetype_lang_2"",""sensitive"",""updated_at"",""url_lang_1"",""url_lang_2"""
"Not parallell,49,""2"",""2026-01-09T09:51:40.853577Z"",1735254982000,1735276849000,""13e60aebe49bd1013a9a664464cda136788024f1"",""1ebef0618e3fa2c3c6ab5d12a1baba2a96710443"",""nupi.no"",""nupi.no"",""Temaer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorisme og ekstremisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fysisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studien er gjord på oppdrag frå Integreringsavdelingen i Kunnskapsdepartementet og har hatt som mål å utforske ungdommars oppleving av ekstremisme i Noreg i dag, framtidige valdstruslar frå ekstreme ideologiske retningar og deira vurderingar av tiltak og verkemiddel i førebygging av dette. Totalt 2588 norske ungdommar frå heile landet deltok i studien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Håvard Haugstvedt jobbar som forskar på Senter for Ekstremismeforskning (C-REX) ved Universitetet i Oslo. Haugstvedt fullførte doktorgrada si ved Universitetet i Stavanger i 2021, der han forska på norske sosialarbeidarars erfaringar med å førebyggje valdeleg ekstremisme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tore Bjørgo er professor og senterleiar ved C-REX og professor II ved Politihøgskolen. Bjørgo har forska på høgreekstremisme og førebygging av ekstremisme og kriminalitet i over 30 år og har publisert ei rekkje bøker, rapportar og vitskaplege artiklar på temaet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorisme og ekstremisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fysisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nupi.no bruker informasjonskapsler (""""cookies"""") for å øke kvaliteteten på nettstedet. Les vår personvernerklæring for mer informasjon. Ved å fortsette å bruke nettstedet, aksepterer du vår bruk av informasjonskaplser"",""Themes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorism and extremism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studien er gjort på oppdrag fra Integreringsavdelingen i Kunnskapsdepartementet og har hatt som mål å utforske ungdommers opplevelse av ekstremisme i Norge i dag, fremtidige voldstrusler fra ekstreme ideologiske retninger og deres vurderinger av tiltak og virkemidler i forebygging av dette. Totalt 2588 norske ungdommer fra hele landet deltok i studien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Håvard Haugstvedt jobber som forsker på Senter for Ekstremismeforskning (C-REX) ved Universitetet i Oslo. Haugstvedt fullførte doktorgraden sin ved Universitetet i Stavanger i 2021, der han forsket på norske sosialarbeideres erfaringer med å forebygge voldelig ekstremisme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tore Bjørgo er professor og senterleder ved C-REX og professor II ved Politihøgskolen. Bjørgo har forsket på høyreekstremisme og forebygging av ekstremisme og kriminalitet i over 30 år og har publisert en rekke bøker, rapporter og vitenskapelige artikler på temaet."",""['Temaer', 'Terrorisme og ekstremisme', 'Norsk', 'Seminar', 'Fysisk', 'Studien er gjord på oppdrag frå Integreringsavdelingen i Kunnskapsdepartementet og har hatt som mål å utforske ungdommars oppleving av ekstremisme i Noreg i dag, framtidige valdstruslar frå ekstreme ideologiske retningar og deira vurderingar av tiltak og verkemiddel i førebygging av dette. Totalt 2588 norske ungdommar frå heile landet deltok i studien.', 'Håvard Haugstvedt jobbar som forskar på Senter for Ekstremismeforskning (C-REX) ved Universitetet i Oslo. Haugstvedt fullførte doktorgrada si ved Universitetet i Stavanger i 2021, der han forska på norske sosialarbeidarars erfaringar med å førebyggje valdeleg ekstremisme.', 'Tore Bjørgo er professor og senterleiar ved C-REX og professor II ved Politihøgskolen. Bjørgo har forska på høgreekstremisme og førebygging av ekstremisme og kriminalitet i over 30 år og har publisert ei rekkje bøker, rapportar og vitskaplege artiklar på temaet.', 'Moderator', 'Temaer', 'Terrorisme og ekstremisme', 'Norsk', 'Seminar', 'Fysisk', 'Nupi.no bruker informasjonskapsler (""""cookies"""") for å øke kvaliteteten på nettstedet. Les vår personvernerklæring for mer informasjon. Ved å fortsette å bruke nettstedet, aksepterer du vår bruk av informasjonskaplser']"",""['Themes', 'Terrorism and extremism', 'Norwegian', 'Seminar', 'Physical', 'Studien er gjort på oppdrag fra Integreringsavdelingen i Kunnskapsdepartementet og har hatt som mål å utforske ungdommers opplevelse av ekstremisme i Norge i dag, fremtidige voldstrusler fra ekstreme ideologiske retninger og deres vurderinger av tiltak og virkemidler i forebygging av dette. Totalt 2588 norske ungdommer fra hele landet deltok i studien.', 'Håvard Haugstvedt jobber som forsker på Senter for Ekstremismeforskning (C-REX) ved Universitetet i Oslo. Haugstvedt fullførte doktorgraden sin ved Universitetet i Stavanger i 2021, der han forsket på norske sosialarbeideres erfaringer med å forebygge voldelig ekstremisme.', 'Tore Bjørgo er professor og senterleder ved C-REX og professor II ved Politihøgskolen. Bjørgo har forsket på høyreekstremisme og forebygging av ekstremisme og kriminalitet i over 30 år og har publisert en rekke bøker, rapporter og vitenskapelige artikler på temaet.']"",147,""nno"",""nob"",199.443,""html"",""html"",""2026-01-09T09:51:40.853604Z"",""https://www.nupi.no/arrangementer/2022/ungdom-og-ekstremisme-i-2021-ein-studie-av-ungdommars-vurdering-av-ekstremisme-og-foerebygging-av-ekstremisme-i-noreg"",""https://www.nupi.no/en/events/2022/ungdom-og-ekstremisme-i-2021-en-studie-av-ungdommers-vurdering-av-ekstremisme-og-forebygging-av-ekstremisme-i-norge""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parallell,50,""2"",""2026-01-09T09:56:54.725940Z"",1734381767000,1734381764000,""f3bbf3ea1b402bd76fba8457becbcb3cb6dae5d9"",""d6853f0a65ee6308eeb31f126c91298a8fb35aac"",""sodir.no"",""sodir.no"",""Stadfesting av varsling til Sokkeldirektoratet om hending og andre tilhøve som fører til nedstenging, reduksjon av utvinning av petroleum eller som påverkar gjennomføring av aktivitetar i tråd med vedtak som er fatta  i medhald av loven og føresegner, ref. Petroleumsforskrifta §79a. Grense for varsling: full nedstenging utover eitt døger eller forventa leveransesvikt over 15 mill Sm3 gass eller 15 000 Sm3 olje og kondensat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sendast til e-postadresse: email-removed@email-removed.no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vakttelefon mobil: 992 268 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
